"NICA","TIPO_VIA","NOMBRE_VIA","NUMERO","ESCALERA","PISO","PUERTA","COD_POSTAL","PROVINCIA","LOCALIDAD","MUNICIPIO","TELEFONO","AMP_DOMICILIO"
18959,"CL","SANTILLANA",6,,,,4510,"ALMERIA",,"ABLA",950351019,
18958,"CL","ANDALUCIA",3,,,,4520,"ALMERIA",,"ABRUCENA",950350021,
18869,"CL","VULCANO",2,,,,4770,"ALMERIA","(CURVA (LA))","ADRA",,
18969,"CR","DE ALMERIA",3,,,,4770,"ALMERIA","(PUENTE DEL RIO)","ADRA",950568463,
18946,"CL","NATALIO RIVAS",29,,,,4770,"ALMERIA",,"ADRA",950400625,
18966,"CL","NATALIO RIVAS",94,,,,4770,"ALMERIA",,"ADRA",950400671,"LOCAL A"
19218,"CL","NATALIO RIVAS",48,,,,4770,"ALMERIA",,"ADRA",950400724,
18970,"CL","FABRICA",82,,,,4770,"ALMERIA",,"ADRA",950401358,
18864,"CL","NATALIO RIVAS",35,,,,4770,"ALMERIA",,"ADRA",950401678,
18933,"CL","NATALIO RIVAS",9,,,,4770,"ALMERIA",,"ADRA",,
19228,"CL","GARCIA LOPEZ",14,,,,4857,"ALMERIA",,"ALBANCHEZ",950122019,
19236,"CL","IGLESIA",3,,,,4531,"ALMERIA",,"ALBOLODUY",950644855,
19041,"CR","DE ALBOX A CHIRIVEL",,,,,4812,"ALMERIA","(LLANO DE LOS OLLERES)","ALBOX",950434170,
18932,"PZ","SAN FRANCISCO",24,,,,4800,"ALMERIA",,"ALBOX",950120234,
19146,"CL","SAN VICENTE DE PAUL","S/N",,,,4800,"ALMERIA",,"ALBOX",950121079,
19082,"PZ","GARCIA HARO",1,,,,4800,"ALMERIA",,"ALBOX",950430037,
18870,"CR","CARRETERA",3,,,,4480,"ALMERIA",,"ALCOLEA",950513060,
19135,"CR","CARRETERA S/N",,,,,4897,"ALMERIA",,"ALCONTAR",950426070,
19227,"CL","OLMOS","S/N",,,,4276,"ALMERIA",,"ALCUDIA DE MONTEAGUD",950434873,
18884,"CL","SAN JUAN",1,,,,4567,"ALMERIA",,"ALHABIA",950644000,
18868,"CL","PABLO RUIZ PICASO",8,,,,4400,"ALMERIA",,"ALHAMA DE ALMERIA",950640277,
18895,"CL","NUEVA",10,,,,4408,"ALMERIA",,"ALICUN",950643293,
18782,"CR","DE NIJAR",,,,,4130,"ALMERIA","(ALQUIAN (EL))","ALMERIA",950297850,
18924,"CR","VIATOR S/N",,,,,4130,"ALMERIA","(ALQUIAN (EL))","ALMERIA",950297955,
31202,"ZZ","TERMINAL DEL AEROPUERTO DE ALMERIA",,,,,4130,"ALMERIA","(ALQUIAN (EL))","ALMERIA",,
19052,"CL","IGLESIA",16,,,,4150,"ALMERIA","(CABO DE GATA)","ALMERIA",950370025,
19255,"CR","DE NIJAR",239,,,,4120,"ALMERIA","(CAÑADA DE SAN URBANO (LA))","ALMERIA",950291121,
19183,"CR","DE NIJAR",204,,,,4120,"ALMERIA","(CAÑADA DE SAN URBANO (LA))","ALMERIA",950291781,
18930,"CR","DE NIJAR",160,,,,4120,"ALMERIA","(CAÑADA DE SAN URBANO (LA))","ALMERIA",950291781,
19238,"CL","POTASIO",5,,,,4120,"ALMERIA","(CAÑADA DE SAN URBANO (LA))","ALMERIA",,"LOMA CABRERA"
19043,"PS","DEL TOYO",58,,,,4131,"ALMERIA","(RETAMAR)","ALMERIA",950207144,
28052,"CM","DE LA MARQUESA",13,,,,4131,"ALMERIA","(RETAMAR)","ALMERIA",950221756,
19050,"CL","NTRA.SRA.DEL SALIENTE",,,,,4008,"ALMERIA",,"ALMERIA",950140806,
18915,"CL","SIERRA DE GREDOS,","S/N",,,,4009,"ALMERIA",,"ALMERIA",950140995,"EDIF. CALIFORNIA, LOCALES 3, 4, 5"
19131,"CR","DE HUERCAL",16,,,,4009,"ALMERIA",,"ALMERIA",950142320,
19222,"AV","MEDITERRANEO S/N",,,,,4006,"ALMERIA",,"ALMERIA",950145331,
18813,"CL","ARCIPRESTE DE HITA",16,,,,4006,"ALMERIA",,"ALMERIA",950220065,
18898,"CR","DE NIJAR",382,,,,4009,"ALMERIA",,"ALMERIA",950220749,
18809,"CL","GREGORIO MARAÑON",43,,,,4006,"ALMERIA",,"ALMERIA",950221599,
18979,"CL","MANUEL AZAÑA",3,,,,4006,"ALMERIA",,"ALMERIA",950222352,
18897,"CL","ALTAMIRA",22,,,,4005,"ALMERIA",,"ALMERIA",950223739,
26781,"CR","NIJAR",247,,,,4009,"ALMERIA",,"ALMERIA",950223792,
19178,"CL","BENITO PEREZ GALDOS",14,,,,4006,"ALMERIA",,"ALMERIA",950223883,
19048,"CL","SANTIAGO",110,,,,4006,"ALMERIA",,"ALMERIA",950224791,
19136,"AV","MEDITERRANEO",239,,,,4006,"ALMERIA",,"ALMERIA",950225431,
18834,"AV","BLAS INFANTE",44,,,,4006,"ALMERIA",,"ALMERIA",950226257,
19148,"AV","MENENDEZ PIDAL",70,,,,4009,"ALMERIA",,"ALMERIA",950226323,
19122,"CR","DEL MAMI",81,,,,4009,"ALMERIA",,"ALMERIA",950226385,
19049,"AV","MARE NOSTRUM",48,,,,4009,"ALMERIA",,"ALMERIA",950226397,
18956,"CL","MIRLO",1,,,,4009,"ALMERIA",,"ALMERIA",950229332,
18779,"CL","CASTELAR",6,,,,4001,"ALMERIA",,"ALMERIA",950230012,
19170,"CL","PASEO DE ALMERIA",19,,,,4001,"ALMERIA",,"ALMERIA",950230090,
18786,"AV","PABLO IGLESIAS",61,,,,4003,"ALMERIA",,"ALMERIA",950230408,
18921,"AV","CABO DE GATA",33,,,,4007,"ALMERIA",,"ALMERIA",950230501,
19115,"CL","REAL",52,,,,4002,"ALMERIA",,"ALMERIA",950230560,
18892,"CL","RESTOY",20,,,,4003,"ALMERIA",,"ALMERIA",950230602,
18925,"CR","GRANADA",,,,,4008,"ALMERIA",,"ALMERIA",950230675,"BLOQUE 1"
18973,"CL","JUAN CUADRADO",24,,,,4008,"ALMERIA",,"ALMERIA",950230810,
19036,"PS","DE ALMERIA",4,,,,4001,"ALMERIA",,"ALMERIA",950230930,
18974,"CL","JUAN LIROLA",16,,,,4004,"ALMERIA",,"ALMERIA",950231003,
19051,"CL","GRANADA",14,,,,4003,"ALMERIA",,"ALMERIA",950231248,
19132,"CL","MURCIA",41,,,,4004,"ALMERIA",,"ALMERIA",950231260,
19220,"CL","SANTOS ZARATE",38,,,,4004,"ALMERIA",,"ALMERIA",950231794,
19129,"CL","MARCHALES",21,,,,4008,"ALMERIA",,"ALMERIA",950232394,
19175,"CL","GRANADA",100,,,,4003,"ALMERIA",,"ALMERIA",950233648,
18812,"CL","DAVID",16,,,,4008,"ALMERIA",,"ALMERIA",950233801,
19219,"CL","ALFARERIAS",4,,,,4003,"ALMERIA",,"ALMERIA",950234388,
18846,"CL","REAL",19,,,,4001,"ALMERIA",,"ALMERIA",950234597,
19171,"CL","ALFAREROS",1,,,,4003,"ALMERIA",,"ALMERIA",950234600,
19035,"CL","DR. PACO PEREZ",19,,,,4003,"ALMERIA",,"ALMERIA",950234979,
18926,"CL","LINARES",37,,,,4002,"ALMERIA",,"ALMERIA",950235039,
18783,"CL","PEDRO JOVER",1,,,,4002,"ALMERIA",,"ALMERIA",950235455,
18888,"CL","JAVIER SANZ",4,,,,4004,"ALMERIA",,"ALMERIA",950235859,
19176,"PZ","PAVIA",2,,,,4002,"ALMERIA",,"ALMERIA",950236192,
18845,"PZ","PUERTA DE PURCHENA",1,,,,4001,"ALMERIA",,"ALMERIA",950236298,
18871,"CL","MUELLE",35,,,,4002,"ALMERIA",,"ALMERIA",950236980,
19213,"CL","PASEO DE ALMERIA",51,,,,4001,"ALMERIA",,"ALMERIA",950236984,
18891,"PZ","VIRGEN DEL MAR",9,,,,4001,"ALMERIA",,"ALMERIA",950237047,
19084,"CL","LARGO CABALLERO",53,,,,4008,"ALMERIA",,"ALMERIA",950237265,
19157,"CL","CONDE OFALIA",18,,,,4001,"ALMERIA",,"ALMERIA",950237368,
19156,"PS","DE ALMERIA",39,,,,4001,"ALMERIA",,"ALMERIA",950237703,
18917,"CL","JOAQUIN PERALTA",3,,,,4004,"ALMERIA",,"ALMERIA",950238544,
18781,"CL","PROLONGACION BILBAO",103,,,,4007,"ALMERIA",,"ALMERIA",950240628,
18928,"AV","CABO DE GATA",108,,,,4007,"ALMERIA",,"ALMERIA",950241957,
18975,"CL","CELIA VIÑAS",12,,,,4007,"ALMERIA",,"ALMERIA",950242447,
19118,"CL","COSTA BALEAR",,,,,4008,"ALMERIA",,"ALMERIA",950242933,"EDIF. RESIDENCIAL PELICANO, LOCAL 8"
19172,"CL","CASTILLA",14,,,,4007,"ALMERIA",,"ALMERIA",950243058,"ESQUINA PLZA. DE ESPAÑA"
18831,"CL","VILLARICOS",9,,,,4007,"ALMERIA",,"ALMERIA",950243860,
19243,"PZ","NIÑO JESUS",7,,,,4007,"ALMERIA",,"ALMERIA",950243868,
18817,"CL","JAUL",15,,,,4007,"ALMERIA",,"ALMERIA",950244307,
18838,"AV","DE MADRID",2,,,,4007,"ALMERIA",,"ALMERIA",950244425,
18978,"CL","RAFAEL ALBERTI",16,,,,4004,"ALMERIA",,"ALMERIA",950244530,
19038,"CL","REAL DEL BARRIO ALTO",57,,,,4005,"ALMERIA",,"ALMERIA",950250242,
19233,"CL","PASEO DE ALMERIA",104,,,,4001,"ALMERIA",,"ALMERIA",950250423,
18839,"CL","REAL DEL BARRIO ALTO",149,,,,4005,"ALMERIA",,"ALMERIA",950250438,
18863,"AV","MONSERRAT",17,,,,4006,"ALMERIA",,"ALMERIA",950252094,
18929,"CL","SOLDADO ESPAÑOL",10,,,,4005,"ALMERIA",,"ALMERIA",950253169,
19224,"CR","DE RONDA",325,,,,4006,"ALMERIA",,"ALMERIA",950253557,
19033,"CL","VECINA CONCHA RUIZ",69,,,,4008,"ALMERIA",,"ALMERIA",950254286,
19141,"CL","MURCIA",162,,,,4004,"ALMERIA",,"ALMERIA",950254343,
19079,"AV","SANTA ISABEL",37,,,,4008,"ALMERIA",,"ALMERIA",950254636,
18771,"CL","CALZADA DE CASTRO",32,,,,4006,"ALMERIA",,"ALMERIA",950255289,
19180,"CL","PACO AQUINO",41,,,,4005,"ALMERIA",,"ALMERIA",950266839,
19054,"CL","PADRE MENDEZ",58,,,,4006,"ALMERIA",,"ALMERIA",950268069,
19152,"CL","DR.CARRACIDO",,,,,4005,"ALMERIA",,"ALMERIA",950268213,
18927,"CL","ALCAZAR","S/N",,,,4006,"ALMERIA",,"ALMERIA",950268468,
19138,"AV","SAN JUAN BOSCO",32,,,,4005,"ALMERIA",,"ALMERIA",950268530,
19251,"CL","HERMANOS MACHADO",29,,,,4004,"ALMERIA",,"ALMERIA",950270549,
18844,"CL","GERONA",13,,,,4001,"ALMERIA",,"ALMERIA",950271424,
19147,"PZ","MARIN",1,,,,4003,"ALMERIA",,"ALMERIA",950272520,
19081,"AV","DE LA ESTACION",2,,,,4005,"ALMERIA",,"ALMERIA",950272842,
19139,"CL","PEDRO JOVER",49,,,,4002,"ALMERIA",,"ALMERIA",950273055,
18947,"AV","DE ALHAMBRA",19,,,,4007,"ALMERIA",,"ALMERIA",950274065,
18876,"CL","LA PILARICA","S/N",,,,4009,"ALMERIA",,"ALMERIA",950274211,"JUNTO A PORTAL Nº 9"
18832,"AV","CABO DE GATA",265,,,,4007,"ALMERIA",,"ALMERIA",950274658,
19127,"AV","FEDERICO GARCIA LORCA",,,,,4004,"ALMERIA",,"ALMERIA",950275765,
19047,"AV","DE LA ESTACION",36,,,,4006,"ALMERIA",,"ALMERIA",950276552,
19249,"CL","MEJORANA",,,,,4003,"ALMERIA",,"ALMERIA",950277121,"FASE 1"
19253,"CL","LOPAN",13,,,,4008,"ALMERIA",,"ALMERIA",950281011,
18875,"RB","AMATISTEROS",9,,,,4009,"ALMERIA",,"ALMERIA",950281119,
32047,"CL","GREGORIO MARAÑON",43,,,,4005,"ALMERIA",,"ALMERIA",,
19215,"CL","REAL",6,,,,4457,"ALMERIA",,"ALMOCITA",950510405,
18916,"CR","DE GRANADA",4,,,,4564,"ALMERIA",,"ALSODUX",950644015,
18824,"PS","DEL HUERTO",3,,,,4628,"ALMERIA",,"ANTAS",950453061,
19112,"CL","BARRANCO",21,,,,4660,"ALMERIA",,"ARBOLEAS",950449450,
19231,"CL","MAESTRO ARENAS",1,,,,4888,"ALMERIA",,"ARMUÑA DE ALMANZORA",950421215,
18987,"CL","NUEVA",1,,,,4889,"ALMERIA",,"BACARES",950421129,
18816,"CL","GRANADA",12,,,,4479,"ALMERIA",,"BAYARCAL",950512854,
18822,"CL","Escuelas",4,,,,4891,"ALMERIA",,"BAYARQUE",950420683,
18773,"CL","LOS LLANOS,","S/N",,,,4288,"ALMERIA",,"BEDAR",950398200,"LOCAL 2"
19116,"CL","SEVILLA",38,,,,4410,"ALMERIA",,"BENAHADUX",950310028,
19234,"PZ","MAYOR","S/N",,,,4276,"ALMERIA",,"BENIZALON",950361807,
18900,"CL","RUIZ MUÑOZ",15,,,,4570,"ALMERIA",,"BENTARIQUE",,
19039,"CL","VELEZ RUBIO S/N",,,,,4713,"ALMERIA","(BALANEGRA)","BERJA",950406066,
18867,"PZ","CONSTITUCION",11,,,,4760,"ALMERIA",,"BERJA",950490005,
18945,"CL","MANUEL SALMERON",18,,,,4760,"ALMERIA",,"BERJA",950490108,
19056,"CL","NICOLAS SALMERON",10,,,,4760,"ALMERIA",,"BERJA",950490930,
19055,"AV","MANUEL SALMERON",107,,,,4760,"ALMERIA",,"BERJA",950492176,
18828,"CL","MARQUEZ DE INIZA",11,,,,4760,"ALMERIA",,"BERJA",950492939,
18787,"AV","28 DE FEBRERO",93,,,,4768,"ALMERIA",,"BERJA",,
19169,"CL","REAL",4,,,,4450,"ALMERIA",,"CANJAYAR",950511020,
19155,"CL","LA ERMITA",44,,,,4850,"ALMERIA",,"CANTORIA",950436033,
18982,"CL","AVENIDA DE GARRUCHA",10,,,,4140,"ALMERIA",,"CARBONERAS",950130011,
18922,"CL","CASTILLO",2,,,,4140,"ALMERIA",,"CARBONERAS",950454508,
