"ID de respuesta","Fecha de envío","Última página","Lenguaje inicial","Fecha de inicio","Fecha de la última acción","Dirección IP","URL de referencia","Indique a qué organismo está asociado en el servicio","Rol que ocupa en su organización con respecto al Servicio Corporativo Oracle","¿Cubre el Servicio Corporativo Oracle sus necesidades en cuestión de licencias de productos?","¿Le resulta útil la base de conocimientos de My Oracle Support para encontrar soluciones Vd. mismo?","¿Qué nivel medio de calidad de servicio ha recibido en la resolución de SR?","Valore de forma global el nivel de servicio ofrecido por Soporte Básico, My Oracle Support","Haznos llegar cualquier observación relativa al soporte básico y/o su herramienta (MOS)","Evalúe la relación con el gestor de cuenta asignado a su organismo","Capacitación/conocimientos técnicos del equipo de ingenieros Oracle en la tecnología Oracle utilizada en sus sistemas","Rendimiento/eficiencia del equipo de ingenieros Oracle (si responden en tiempo en relación a los hitos acordados)","Eficacia del equipo de ingenieros Oracle (si su trabajo se ajusta a los objetivos marcados y tiene un planteamiento directo, práctico y útil)","Calidad del equipo de ingenieros Oracle (si se esmeran en la calidad de los resultados)","Accesibilidad/disponibilidad del equipo de ingenieros Oracle. Facilidad de interacción y acceso al equipo técnico","Proactividad del equipo de ingenieros Oracle (envío de alertas sobre parches, propuestas de cambio, etc)","Carácter/Disposición del equipo de ingenieros Oracle (carácter, trato, nivel de motivación, etc.)","Grado de implicación en sus proyectos y nivel de conocimiento de su infraestructura por parte del equipo que presta el Servicio Corporativo Oracle","Evalúe de forma global la cualificación y actitud del equipo de ingenieros Oracle que presta servicio a su organismo","Haznos llegar cualquier observación relativa al equipo de ingenieros de Soporte Avanzado: lo que más valoras, lo que habría que mejorar, etc.","Calidad del servicio recibido en la resolución de Incidencias y Consultas por parte de Soporte Avanzado","¿Cubre el Servicio Corporativo Oracle sus necesidades en relación a las actividades que se ejecutan en los Planes de Soporte?","Calidad de servicio recibido en la ejecución de asistencias especializadas y actividades definidas en el Plan de Soporte por parte de Soporte Avanzado.","Haznos llegar cualquier observación sobre la calidad y alcance de los servicios de Soporte Avanzado, tanto reactivo (incidencias y consultas) como proactivo (planes de soporte)","¿Consideras interesantes o útiles para tu organismo las sesiones de conocimiento propuestas para el 2015?","Evalúe el nivel de servicio recibido en relación a las transferencias de conocimiento","Haznos llegar cualquier observación sobre la actividad de transferencias de conocimiento","Valore de forma global el nivel de servicio ofrecido por los servicios de Soporte Avanzado","Haznos llegar cualquier observación relativa al Soporte Avanzado en general","¿Se considera convenientemente informado sobre acceso, uso, procedimientos, herramientas, convocatorias, campañas del servicio? ¿Recibe las noticias sobre el servicio?","Evalúe la calidad de servicio en relación a si son atendidas adecuadamente sus consultas o peticiones de carácter general a la Dirección de Proyecto","Evalúe la calidad de servicio en relación a si son atendidas adecuadamente sus peticiones de Solicitud de Acceso al Servicio por parte de CAU","Comentarios generales o propuestas de mejora sobre el diseño general del servicio","En términos globales ¿Cuál es su valoración de la prestación del Servicio Corporativo Oracle en su Organismo durante el último año?","Observaciones generales sobre el servicio recibido","Tiempo total","Temporización del grupo: Organismo y Rol","Temporización de la pregunta: O1","Temporización de la pregunta: O2","Temporización del grupo: Licencias","Temporización de la pregunta: A1","Temporización del grupo: Soporte Básico (SB)","Temporización de la pregunta: BB1","Temporización de la pregunta: BB2","Temporización de la pregunta: B1","Temporización de la pregunta: B2","Temporización del grupo: Soporte Avanzado (SA) - Equipo Técnico","Temporización de la pregunta: C1","Temporización de la pregunta: CC1","Temporización de la pregunta: CC2","Temporización de la pregunta: CC3","Temporización de la pregunta: CC4","Temporización de la pregunta: CC5","Temporización de la pregunta: CC6","Temporización de la pregunta: CC7","Temporización de la pregunta: C2","Temporización de la pregunta: C3","Temporización de la pregunta: C4","Temporización del grupo: Soporte Avanzado (SA) - Servicio","Temporización de la pregunta: C5","Temporización de la pregunta: C6","Temporización de la pregunta: C7","Temporización de la pregunta: C8","Temporización de la pregunta: C9","Temporización de la pregunta: CC9","Temporización de la pregunta: C10","Temporización de la pregunta: C11","Temporización de la pregunta: C12","Temporización del grupo: General - Diseño del Servicio","Temporización de la pregunta: D1","Temporización de la pregunta: D2","Temporización de la pregunta: D3","Temporización de la pregunta: D4","Temporización del grupo: Valoración global","Temporización de la pregunta: E1","Temporización de la pregunta: E2"
"3","2015-05-18 10:13:53","7","es","2015-05-18 10:13:53","2015-05-18 10:13:53","10.238.8.21","","AMAYA - Agencia de Medio Ambiente y Agua de Andalucía","Perfil Técnico","","Bastante","Normal","Normal","La resolución de muchos casos se basan en notas que se pueden encontrar con una búsqueda. En algunas ocasiones, la solución es ""migrar de versión"", cosa que no siempre es posible, además, el tema de por ejemplo, instalar un parche (que también recomiendan), en ocasiones acaba estropeando más cosas de las que arregla, por esto somos tan reticentes a la hora de seguir estas instrucciones de resolución.
","","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Sobresaliente al equipo de soporte avanzado de Oracle, tanto en trato como en cuestiones técnicas, ya sean a la hora de dar soporte reactivo o proactivo.","Excelente","Totalmente","Excelente","","Parcialmente","Buena","
Algunas sesiones se han repetido con respecto al año anterior. Sé que se han consultado las temáticas, pero debería darse prioridad a temas nuevos, más que a otros repetidos.","Excelente","","Bastante","Excelente","","Algunas comunicaciones que solo se hacen a los Dinamizadores o Responsables del servicio son más interesantes para los técnicos, o al menos deberíamos enterarnos, y aunque, es un tema interno de cada organismo, en ocasiones, los técnicos no recibimos la información. Creo que en general, todas las comunicaciones deberíamos recibirlas también los perfiles técnicos","Excelente","","744.67","30.63","","","","","179.64","","","","","92.45","","","","","","","","","","","","119.91","","","","","","","","","","151.97","","","","","170.07","",""
"4","2015-05-18 10:15:36","7","es","2015-05-18 10:15:36","2015-05-18 10:15:36","10.228.15.34","","CALRI - Consejería de Administración Local y Relaciones Institucionales","Perfil Técnico","","Bastante","Mala","Normal","La resolución de los SR suele ser lenta y tediosa.","","Excelente","Buena","Buena","Excelente","Buena","Buena","Excelente","Excelente","Buena","Muy bien en general","Buena","Bastante","Buena","N/A","Parcialmente","Buena","Dos de las charlas (Data Guard y Nuevas funcionalidades) ya se vienen dando en años anteriores, pero lamentablemente la gente sigue votando por ellas. Creo que no debería darse la opción de repetir las charlas de otros años, porque a los que asistimos a los cursos con interés, nos parece repetitiva.","Buena","","Bastante","Buena","","","Normal","","258.43","18.89","","","","","40.99","","","","","52.94","","","","","","","","","","","","115.09","","","","","","","","","","15.78","","","","","14.74","",""
"5","2015-05-18 10:16:29","7","es","2015-05-18 10:16:29","2015-05-18 10:16:29","10.227.240.32","","CECD_EDU - Consejería de Educación, Cultura y Deporte, Área de Educación","Representante","Totalmente","","","Buena","","Excelente","","","","","","","","Excelente","","","Buena","Totalmente","Excelente","","Bastante","","","Excelente","","Bastante","Excelente","Buena","","Excelente","","130.73","28.48","","","11.5","","10.71","","","","","19.27","","","","","","","","","","","","31.12","","","","","","","","","","20.25","","","","","9.4","",""
"7","2015-05-18 10:19:23","7","es","2015-05-18 10:19:23","2015-05-18 10:19:23","10.227.240.35","","CECD_EDU - Consejería de Educación, Cultura y Deporte, Área de Educación","Perfil Técnico","","Bastante","Buena","Excelente","","","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","","Excelente","Totalmente","Excelente","","","","","Excelente","","Totalmente","Excelente","","","Excelente","","286.42","52.1","","","","","75.47","","","","","60.79","","","","","","","","","","","","59.26","","","","","","","","","","31.78","","","","","7.02","",""
"8","2015-05-18 10:21:55","7","es","2015-05-18 10:21:55","2015-05-18 10:21:55","10.230.65.82","","IFAPA - Instituto de Investigación y Formación Agraria y Pesquera de Andalucía","Perfil Técnico","","Bastante","Buena","Buena","","","Excelente","Excelente","Buena","Buena","Excelente","Buena","Buena","Excelente","Buena","","Buena","Bastante","Buena","","Totalmente","Buena","","Buena","","Bastante","Buena","","","Buena","","145.96","42.42","","","","","22.22","","","","","35.2","","","","","","","","","","","","26.27","","","","","","","","","","13.64","","","","","6.21","",""
"9","2015-05-18 10:25:56","7","es","2015-05-18 10:25:56","2015-05-18 10:25:56","10.226.138.216","","CHAP - Consejería de Hacienda y Administración Pública","Perfil Técnico","","Totalmente","Excelente","Excelente","","","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","","Excelente","Totalmente","Excelente","","Totalmente","Excelente","","Excelente","","Totalmente","Excelente","","","Excelente","","166.34","16.89","","","","","71.37","","","","","36.93","","","","","","","","","","","","18.95","","","","","","","","","","7.75","","","","","14.45","",""
"11","2015-05-18 10:30:45","7","es","2015-05-18 10:30:45","2015-05-18 10:30:45","10.245.184.9","","EXTENDA - Agencia Andaluza de Promoción Exterior","Perfil Técnico","","Bastante","","Buena","","","Excelente","Excelente","Excelente","Excelente","Excelente","Normal","Excelente","Excelente","Excelente","El servicio prestado por el ingeniero de Oracle asignado a nuestro organismo ha sido excelente.","Buena","Totalmente","Excelente","","","Buena","","Excelente","","Bastante","","","No hemos realizado consulta a la Dirección del Proyecto","Excelente","Con el apoyo del técnico avanzado asignado a nuestro organismo hemos realizado la migración de nuestras bases de datos a la versión 11G. El proceso se realizó satisfactoriamente.","2031.42","1001.54","","","","","448.75","","","","","142.74","","","","","","","","","","","","100.46","","","","","","","","","","129.11","","","","","208.82","",""
"12","2015-05-18 10:33:20","7","es","2015-05-18 10:33:20","2015-05-18 10:33:20","37.35.157.184","","SAS_SSCC - Servicio Andaluz de Salud, Servicios Centrales","Perfil Técnico","","Bastante","Regular","Normal","","","Buena","Normal","Normal","Normal","Buena","Mala","Buena","Regular","Normal","","Normal","Parcialmente","Normal","","Parcialmente","Normal","","Normal","","Bastante","Normal","","","Normal","","170.36","24.71","","","","","17.18","","","","","54.78","","","","","","","","","","","","38.68","","","","","","","","","","29.81","","","","","5.2","",""
"13","2015-05-18 10:34:33","7","es","2015-05-18 10:34:33","2015-05-18 10:34:33","10.118.85.235, 10.235.52.208","","SAS_SSCC - Servicio Andaluz de Salud, Servicios Centrales","Perfil Técnico","","Parcialmente","Regular","Regular","La herramienta anterior, metalink era más completa, se hacían mejores búsquedas, y todo era más sencillo.","","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","","Excelente","Bastante","Excelente","","Bastante","Buena","","Excelente","","Muy poco","Buena","","","Buena","","242.98","23.33","","","","","63.51","","","","","42.86","","","","","","","","","","","","71.44","","","","","","","","","","17","","","","","24.84","",""
"14","2015-05-18 10:35:30","7","es","2015-05-18 10:35:30","2015-05-18 10:35:30","10.118.160.211","","IFAPA - Instituto de Investigación y Formación Agraria y Pesquera de Andalucía","Perfil Técnico","","Parcialmente","Buena","Normal","Para cualquier problema debemos crear una SR en MOS y siempre se pierde una gran tiempo (1 hora)en indicarle al técnico que nos vaya a tratar que herramientas y maquina estamos tratando, cuando antes el técnico que nos trataba ya sabia que teníamos y pasábamos directamente a resolver el problema.","","Buena","Buena","Buena","Buena","Buena","Buena","Buena","Buena","Buena","Se, que están moviéndose mucho con los usuarios, me surge la duda que pasará cuando ocurra un problema grande y ellos estén con otro problema en el domicilio de otro usuario, quien me trataría?","Buena","Bastante","Buena","","Bastante","Buena","Creo que deberian ser algo practicas las transferencias de conocimiento, asi no serian mas activas para los nosotros. A veces solo escuchamos y con solo oir no se aprende.","Buena","","Bastante","Buena","","","Normal","Por ahora esta todo correcto, espero no tener ningún problema urgente y necesite una actuación rápida y segura del soporte. Creo que no seria tan rápido como se tiene previsto si el soporte este ya tratando otra incidencia o problema con otro usuario.","1271.63","16.37","","","","","251.42","","","","","669.12","","","","","","","","","","","","195.82","","","","","","","","","","28.38","","","","","110.52","",""
"15","2015-05-18 10:36:52","7","es","2015-05-18 10:36:52","2015-05-18 10:36:52","10.226.103.12","","CECD_CUL - Consejería de Educación, Cultura y Deporte, Área de Cultura","Representante","Bastante","","","Buena","","Excelente","","","","","","","","Excelente","Buena","","Buena","Bastante","Buena","","Totalmente","","","Buena","","Bastante","Buena","Buena","","Buena","","182.78","16.72","","","37.31","","15.22","","","","","34.02","","","","","","","","","","","","44.35","","","","","","","","","","27.12","","","","","8.04","",""
"17","2015-05-18 10:38:26","7","es","2015-05-18 10:38:26","2015-05-18 10:38:26","83.41.165.135","","SAE - Servicio Andaluz de Empleo","Perfil Técnico","","Bastante","Buena","Buena","","","Buena","Normal","Buena","Buena","Normal","Regular","Normal","Regular","Normal","","Buena","Parcialmente","Normal","","Bastante","Buena","","Normal","","Bastante","Normal","","","Normal","","176.81","35.28","","","","","19.55","","","","","55.09","","","","","","","","","","","","42","","","","","","","","","","17.02","","","","","7.87","",""
"18","2015-05-18 10:39:40","7","es","2015-05-18 10:39:40","2015-05-18 10:39:40","10.240.96.91","","AIDEA - Agencia de Innovación y Desarrollo de Andalucía","Perfil Técnico","","Bastante","Buena","Buena","","","","","Buena","Buena","","Buena","Buena","Buena","Buena","","Buena","Bastante","Buena","","Bastante","Buena","","Buena","","Bastante","Buena","","","Buena","","126.76","35.53","","","","","26.12","","","","","20.76","","","","","","","","","","","","26.2","","","","","","","","","","11.68","","","","","6.47","",""
"20","2015-05-18 10:58:07","7","es","2015-05-18 10:58:07","2015-05-18 10:58:07","10.174.100.100","","ASAG - Agencia Sanitaria del Alto Guadalquivir","Perfil Técnico","","Muy poco","Excelente","Normal","Personalmente el portal MOS me resulta bastante complicado, al final siempre termino encontrando lo que necesito a través de google, básicamente utilizo MOS para abrir SRs, no como base de conocimientos.","","Excelente","Excelente","Excelente","Excelente","Normal","Buena","Excelente","Excelente","Excelente","Para mí el trabajo realizado en años anteriores con el equipo de ingenieros de Soporte Avanzado ha sido muy satisfactorio, lamento enormemente la decisión de este año por la cual los técnicos no pueden desplazarse para hacer determinadas actuaciones, y tampoco entiendo muy bien el hecho de tener que demostrar que previamente he buscado información en MOS para abrir un caso con soporte avanzado, creo que es un paso atrás muy importante, ya que determinadas actuaciones (como puede ser una subida de versión o una instalación de un catálogo de RMAN) puede resolverse con un día programado con desplazamiento del ingeniero al centro en cuestión y a través de una SR la intervención puede eternizarse, con un intercambio de correos o mensajes que hacen que la comunicación no sea tan fluida. En conclusión, creo que tanto por la parte de Soporte Avanzado como por la nuestra se pierde mucho más tiempo ""obligando"" a la resolución de problemas telemáticamente en lugar de poder (para determinados casos, evidentemente para estudiar un error no hay por qué desplazarse) desplazarse al centro y echar una jornada de trabajo.","Excelente","Parcialmente","Buena","Tal y como he comentado antes la calidad del servicio ha decaído mucho desde la decisión de prohibir los desplazamientos de los ingenieros a los centros.","Totalmente","Buena","","Buena","","Totalmente","Excelente","","","Buena","","550.08","15.7","","","","","112.11","","","","","318.12","","","","","","","","","","","","80.01","","","","","","","","","","16","","","","","8.14","",""
"21","2015-05-18 11:16:12","7","es","2015-05-18 11:16:12","2015-05-18 11:16:12","10.239.216.151","","AGAPA - Agencia de Gestión Agraria y Pesquera de Andalucía","Perfil Técnico","","Bastante","","Buena","","","Excelente","Buena","Buena","Excelente","Buena","","Excelente","Buena","Buena","","Buena","Totalmente","Buena","","Totalmente","Buena","","Buena","","Bastante","","","","Buena","","240.44","16.38","","","","","47.43","","","","","78.08","","","","","","","","","","","","55.2","","","","","","","","","","25","","","","","18.35","",""
"26","2015-05-18 11:47:16","7","es","2015-05-18 11:47:16","2015-05-18 11:47:16","10.241.252.7","","CJI_SGJ - Consejería de Justicia e Interior, Secretaría General para la Justicia","Enlace Dinamizador","Totalmente","","","Normal","Muchas veces la solución a un problema nuestro es subir de versión, lo cual es problemático para nuestras aplicaciones; otras veces es cambiar S.O. (32 a 64); o aumentar la potencia del hardware, igualmente problemático.","Buena","","","","","","","","Buena","Buena","","Normal","Bastante","Normal","","Bastante","","","Normal","","Bastante","Buena","Buena","","Normal","","680.19","8.57","","","22.63","","460.37","","","","","41.38","","","","","","","","","","","","103.85","","","","","","","","","","35.98","","","","","7.41","",""
"27","2015-05-18 12:07:31","7","es","2015-05-18 12:07:31","2015-05-18 12:07:31","10.118.85.150, 10.235.52.208","http://www.sandetel.es/calidad/index.php/survey/index/sid/378888/token/2a9avdvp3wvegtd/lang/es","SAS_SSCC - Servicio Andaluz de Salud, Servicios Centrales","Perfil Técnico","","Bastante","Buena","Excelente","","","","","","","","","","","","ninguna","","","","","","","","","","","","","","Buena","","80.31","21.19","","","","","23.01","","","","","12.34","","","","","","","","","","","","13.93","","","","","","","","","","3.17","","","","","6.67","",""
"29","2015-05-18 12:13:44","7","es","2015-05-18 12:13:44","2015-05-18 12:13:44","10.225.14.172","","CAPDER - Consejería de Agricultura, Pesca y Desarrollo Rural","Enlace Dinamizador","Bastante","","","Buena","","Excelente","","","","","","","","Excelente","Excelente","","Excelente","Bastante","Excelente","","","","","","","Totalmente","Excelente","Excelente","","Excelente","","113.81","13.27","","","14.43","","10.73","","","","","18.7","","","","","","","","","","","","26.57","","","","","","","","","","22.17","","","","","7.94","",""
"30","2015-05-18 12:18:38","7","es","2015-05-18 12:18:38","2015-05-18 12:18:38","10.225.14.72","","CAPDER - Consejería de Agricultura, Pesca y Desarrollo Rural","Perfil Técnico","","Bastante","Regular","Normal","Aunque la base de datos de conocimiento es muy potente y soluciona la mayoría de los casos que nos encontramos, la apertura de los SR es una pérdida de tiempo porque casi nunca nos solucionan el problema. El técnico asignado a la resolución del problema suele ofrecer una solución estándar que no se adapta a nuestra cuestión particular.","","Excelente","Excelente","Buena","Buena","Excelente","","","Excelente","Excelente","Sin el equipo de Ingenieros de Oracle, no habríamos sido capaces de resolver algunos de los problemas que se nos han presentado, bien porque el conocimiento de la resolución del problema no estaba publicado en el Soporte Básico/MOS, bien porque la apertura de los SR no sirvió para nada más que marearnos con su burocracia.","Buena","Totalmente","Excelente","Su respuesta a las incidencias y consultas es casi inmediata.","Bastante","","No he asistido este año a ninguna de las sesiones de transferencias de conocimiento porque eran exclusivamente del área de Bases de Datos, no de Servidores de Aplicaciones.","","","Bastante","Buena","","","Excelente","","453.87","15.13","","","","","167.36","","","","","115.51","","","","","","","","","","","","136.62","","","","","","","","","","12.93","","","","","6.32","",""
"32","2015-05-18 12:23:24","7","es","2015-05-18 12:23:24","2015-05-18 12:23:24","10.242.66.4","","VEIASA - Verificaciones Industriales de Andalucía, S.A.","Enlace Dinamizador","Muy poco","","","Mala","La herramienta no funciona correctamente en todos los navegadores. No es una herramienta intuitiva.

Respecto al soporte, tenemos la sensación de que se está más interesado en cerrar el ticket de la incidencia que en resolver la misma. 

Hoy por hoy no apreciamos ninguna ventaja al soporte que nos presta Oracle.","Normal","","","","","","","","Mala","Mala","No se nos dan soluciones. Se limita a contestar los tickets para dejar la pelota en el tejado del cliente y cerrar el ticket cuando no se recibe respuesta.","Mala","Nada","Regular","Practicamente no hay servicio.","Muy poco","","No fueron antendidas ni una de las solicitudes que propusimos desde la empresa y que nos resultaban interesantes.","Regular","","Muy poco","Mala","Mala","","Mala","","578.28","32.91","","","10.29","","198.74","","","","","226.37","","","","","","","","","","","","81.93","","","","","","","","","","18.48","","","","","9.56","",""
"34","2015-05-18 12:26:45","7","es","2015-05-18 12:26:45","2015-05-18 12:26:45","10.230.49.190","http://www.sandetel.es/calidad/index.php/378888/token/zgkgpb25taj3yud/lang/es/newtest/Y","CEICE - Consejería de Economía, Innovación, Ciencia y Empleo","Representante","Parcialmente","","","","","Buena","","","","","","","","Buena","Excelente","","","Bastante","Buena","","Bastante","","","Buena","","Parcialmente","Buena","Normal","","Buena","","206.16","24.94","","","45.3","","14.48","","","","","33.6","","","","","","","","","","","","54.8","","","","","","","","","","23.99","","","","","9.05","",""

